--------------------------------------------------------------------------------
Marvellous Process Logger : Fri Apr 26 00:25:58 2019
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.22265625}
{'name': 'Registry', 'pid': 96, 'username': None, 'vms': 1.12890625}
{'name': 'smss.exe', 'pid': 388, 'username': None, 'vms': 0.48046875}
{'name': 'svchost.exe', 'pid': 516, 'username': None, 'vms': 10.5078125}
{'name': 'csrss.exe', 'pid': 592, 'username': None, 'vms': 1.83203125}
{'name': 'chrome.exe', 'pid': 596, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 0.83984375}
{'name': 'wininit.exe', 'pid': 708, 'username': None, 'vms': 1.7109375}
{'name': 'services.exe', 'pid': 784, 'username': None, 'vms': 6.34375}
{'name': 'lsass.exe', 'pid': 792, 'username': None, 'vms': 9.87109375}
{'name': 'svchost.exe', 'pid': 864, 'username': None, 'vms': 4.76953125}
{'name': 'svchost.exe', 'pid': 916, 'username': None, 'vms': 0.97265625}
{'name': 'fontdrvhost.exe', 'pid': 944, 'username': None, 'vms': 1.85546875}
{'name': 'svchost.exe', 'pid': 952, 'username': None, 'vms': 22.29296875}
{'name': 'WUDFHost.exe', 'pid': 1008, 'username': None, 'vms': 3.984375}
{'name': 'chrome.exe', 'pid': 1036, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 24.51953125}
{'name': 'RAVBg64.exe', 'pid': 1100, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 4.2578125}
{'name': 'svchost.exe', 'pid': 1144, 'username': None, 'vms': 2.484375}
{'name': 'svchost.exe', 'pid': 1228, 'username': None, 'vms': 3.87890625}
{'name': 'WinStore.App.exe', 'pid': 1276, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 50.640625}
{'name': 'svchost.exe', 'pid': 1308, 'username': None, 'vms': 2.26953125}
{'name': 'svchost.exe', 'pid': 1336, 'username': None, 'vms': 2.61328125}
{'name': 'MicrosoftEdgeCP.exe', 'pid': 1396, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 5.85546875}
{'name': 'svchost.exe', 'pid': 1400, 'username': None, 'vms': 2.1953125}
{'name': 'svchost.exe', 'pid': 1428, 'username': None, 'vms': 4.8984375}
{'name': 'svchost.exe', 'pid': 1460, 'username': None, 'vms': 16.79296875}
{'name': 'AcroRd32.exe', 'pid': 1644, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 10.42578125}
{'name': 'svchost.exe', 'pid': 1656, 'username': None, 'vms': 2.01953125}
{'name': 'svchost.exe', 'pid': 1672, 'username': None, 'vms': 5.16796875}
{'name': 'RAVBg64.exe', 'pid': 1688, 'username': None, 'vms': 5.84375}
{'name': 'svchost.exe', 'pid': 1696, 'username': None, 'vms': 5.6640625}
{'name': 'svchost.exe', 'pid': 1708, 'username': None, 'vms': 6.53125}
{'name': 'svchost.exe', 'pid': 1788, 'username': None, 'vms': 2.88671875}
{'name': 'svchost.exe', 'pid': 1824, 'username': None, 'vms': 2.72265625}
{'name': 'svchost.exe', 'pid': 1860, 'username': None, 'vms': 3.0078125}
{'name': 'svchost.exe', 'pid': 1900, 'username': None, 'vms': 7.8125}
{'name': 'svchost.exe', 'pid': 1960, 'username': None, 'vms': 5.484375}
{'name': 'svchost.exe', 'pid': 2032, 'username': None, 'vms': 3.87890625}
{'name': 'atiesrxx.exe', 'pid': 2088, 'username': None, 'vms': 1.40625}
{'name': 'explorer.exe', 'pid': 2104, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 83.26171875}
{'name': 'svchost.exe', 'pid': 2132, 'username': None, 'vms': 89.40625}
{'name': 'svchost.exe', 'pid': 2140, 'username': None, 'vms': 1.33984375}
{'name': 'svchost.exe', 'pid': 2148, 'username': None, 'vms': 2.26953125}
{'name': 'Memory Compression', 'pid': 2216, 'username': None, 'vms': 0.8046875}
{'name': 'svchost.exe', 'pid': 2256, 'username': None, 'vms': 2.42578125}
{'name': 'igfxCUIService.exe', 'pid': 2284, 'username': None, 'vms': 1.9375}
{'name': 'svchost.exe', 'pid': 2360, 'username': None, 'vms': 2.01171875}
{'name': 'svchost.exe', 'pid': 2368, 'username': None, 'vms': 1.88671875}
{'name': 'SgrmBroker.exe', 'pid': 2392, 'username': None, 'vms': 3.0703125}
{'name': 'svchost.exe', 'pid': 2452, 'username': None, 'vms': 4.62109375}
{'name': 'RdrCEF.exe', 'pid': 2480, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'vms': 73.76953125}
{'name': 'RtkAudioService64.exe', 'pid': 2496, 'username': None, 'vms': 1.91796875}
{'name': 'svchost.exe', 'pid': 2560, 'username': None, 'vms': 7.3828125}
{'name': 'svchost.exe', 'pid': 2580, 'username': None, 'vms': 2.14453125}
{'name': 'svchost.exe', 'pid': 2676, 'username': None, 'vms': 3.875}
{'name': 'svchost.exe', 'pid': 2720, 'username': None, 'vms': 5.01953125}
{'name': 'svchost.exe', 'pid': 2796, 'username': None, 'vms': 4.08203125}
