{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05078125}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.22265625}
{'pid': 96, 'username': None, 'name': 'Registry', 'vms': 1.0546875}
{'pid': 388, 'username': None, 'name': 'smss.exe', 'vms': 0.48046875}
{'pid': 516, 'username': None, 'name': 'svchost.exe', 'vms': 10.4765625}
{'pid': 592, 'username': None, 'name': 'csrss.exe', 'vms': 1.83203125}
{'pid': 708, 'username': None, 'name': 'wininit.exe', 'vms': 1.7109375}
{'pid': 784, 'username': None, 'name': 'services.exe', 'vms': 6.33984375}
{'pid': 792, 'username': None, 'name': 'lsass.exe', 'vms': 9.828125}
{'pid': 864, 'username': None, 'name': 'svchost.exe', 'vms': 4.75}
{'pid': 916, 'username': None, 'name': 'svchost.exe', 'vms': 0.97265625}
{'pid': 944, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.85546875}
{'pid': 952, 'username': None, 'name': 'svchost.exe', 'vms': 22.54296875}
{'pid': 1008, 'username': None, 'name': 'WUDFHost.exe', 'vms': 3.984375}
{'pid': 1100, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'RAVBg64.exe', 'vms': 4.2578125}
{'pid': 1144, 'username': None, 'name': 'svchost.exe', 'vms': 2.09765625}
{'pid': 1148, 'username': None, 'name': 'audiodg.exe', 'vms': 10.0546875}
{'pid': 1228, 'username': None, 'name': 'svchost.exe', 'vms': 3.87890625}
{'pid': 1276, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'WinStore.App.exe', 'vms': 50.640625}
{'pid': 1308, 'username': None, 'name': 'svchost.exe', 'vms': 2.203125}
{'pid': 1336, 'username': None, 'name': 'svchost.exe', 'vms': 2.5625}
{'pid': 1396, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'MicrosoftEdgeCP.exe', 'vms': 5.85546875}
{'pid': 1400, 'username': None, 'name': 'svchost.exe', 'vms': 2.1953125}
{'pid': 1428, 'username': None, 'name': 'svchost.exe', 'vms': 4.72265625}
{'pid': 1460, 'username': None, 'name': 'svchost.exe', 'vms': 15.83984375}
{'pid': 1644, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'AcroRd32.exe', 'vms': 10.35546875}
{'pid': 1656, 'username': None, 'name': 'svchost.exe', 'vms': 1.89453125}
{'pid': 1672, 'username': None, 'name': 'svchost.exe', 'vms': 5.09765625}
{'pid': 1688, 'username': None, 'name': 'RAVBg64.exe', 'vms': 5.84375}
{'pid': 1696, 'username': None, 'name': 'svchost.exe', 'vms': 5.671875}
{'pid': 1708, 'username': None, 'name': 'svchost.exe', 'vms': 6.4140625}
{'pid': 1788, 'username': None, 'name': 'svchost.exe', 'vms': 2.65625}
{'pid': 1824, 'username': None, 'name': 'svchost.exe', 'vms': 2.64453125}
{'pid': 1860, 'username': None, 'name': 'svchost.exe', 'vms': 2.87890625}
{'pid': 1900, 'username': None, 'name': 'svchost.exe', 'vms': 7.8125}
{'pid': 1960, 'username': None, 'name': 'svchost.exe', 'vms': 4.93359375}
{'pid': 2032, 'username': None, 'name': 'svchost.exe', 'vms': 3.62890625}
{'pid': 2088, 'username': None, 'name': 'atiesrxx.exe', 'vms': 1.40625}
{'pid': 2104, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'explorer.exe', 'vms': 87.7578125}
{'pid': 2132, 'username': None, 'name': 'svchost.exe', 'vms': 85.7265625}
{'pid': 2140, 'username': None, 'name': 'svchost.exe', 'vms': 1.33984375}
{'pid': 2148, 'username': None, 'name': 'svchost.exe', 'vms': 2.0859375}
{'pid': 2216, 'username': None, 'name': 'Memory Compression', 'vms': 0.65234375}
{'pid': 2256, 'username': None, 'name': 'svchost.exe', 'vms': 2.22265625}
{'pid': 2284, 'username': None, 'name': 'igfxCUIService.exe', 'vms': 1.87890625}
{'pid': 2360, 'username': None, 'name': 'svchost.exe', 'vms': 2.01171875}
{'pid': 2368, 'username': None, 'name': 'svchost.exe', 'vms': 1.79296875}
{'pid': 2392, 'username': None, 'name': 'SgrmBroker.exe', 'vms': 2.83984375}
{'pid': 2452, 'username': None, 'name': 'svchost.exe', 'vms': 4.640625}
{'pid': 2480, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'RdrCEF.exe', 'vms': 65.99609375}
{'pid': 2496, 'username': None, 'name': 'RtkAudioService64.exe', 'vms': 1.91796875}
{'pid': 2560, 'username': None, 'name': 'svchost.exe', 'vms': 7.42578125}
{'pid': 2580, 'username': None, 'name': 'svchost.exe', 'vms': 1.9453125}
{'pid': 2676, 'username': None, 'name': 'svchost.exe', 'vms': 3.67578125}
{'pid': 2720, 'username': None, 'name': 'svchost.exe', 'vms': 4.96484375}
{'pid': 2796, 'username': None, 'name': 'svchost.exe', 'vms': 3.65625}
{'pid': 2960, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'svchost.exe', 'vms': 9.01171875}
{'pid': 2964, 'username': None, 'name': 'svchost.exe', 'vms': 5.82421875}
{'pid': 3000, 'username': None, 'name': 'svchost.exe', 'vms': 1.88671875}
{'pid': 3040, 'username': None, 'name': 'spoolsv.exe', 'vms': 6.1171875}
{'pid': 3064, 'username': None, 'name': 'svchost.exe', 'vms': 1.36328125}
{'pid': 3068, 'username': None, 'name': 'svchost.exe', 'vms': 2.8828125}
{'pid': 3108, 'username': None, 'name': 'svchost.exe', 'vms': 12.4765625}
{'pid': 3144, 'username': None, 'name': 'svchost.exe', 'vms': 1.98828125}
{'pid': 3180, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'jucheck.exe', 'vms': 2.67578125}
{'pid': 3188, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'chrome.exe', 'vms': 43.1640625}
{'pid': 3192, 'username': None, 'name': 'svchost.exe', 'vms': 1.91015625}
{'pid': 3236, 'username': None, 'name': 'svchost.exe', 'vms': 2.25}
{'pid': 3276, 'username': 'DESKTOP-TIU7GVP\\Harshal', 'name': 'MicrosoftEdge.exe', 'vms': 21.68359375}
{'pid': 3308, 'username': None, 'name': 'AdminService.exe', 'vms': 79.5625}
{'pid': 3316, 'username': None, 'name': 'armsvc.exe', 'vms': 3.23828125}
